2020-10-09 20:39:16 - __main__ - INFO - This is a log info
2020-10-09 20:39:16 - __main__ - WARNING - Warning exists
2020-10-09 20:39:16 - __main__ - ERROR - This is a error
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1295038/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg', '哈利·波特与魔法石', "\xa0\xa0Harry Potter and the Sorcerer's Stone", '9.1', '768459', '童话世界的开端', '导演: Chris Columbus\xa0\xa0\xa0主演: Daniel Radcliffe   Emma Watson   Rupert Grint 2001\xa0 \xa0美国 英国\xa0 \xa0奇幻 冒险']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291858/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg', '鬼子来了', ' ', '9.3', '465625', '对敌人的仁慈，就是对自己残忍', '导演: 姜文 Wen Jiang\xa0\xa0\xa0主演: 姜文 Wen Jiang   香川照之 Teruyuki Kagawa  ... 2000\xa0 \xa0中国大陆\xa0 \xa0剧情 喜剧']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291583/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg', '天空之城', '\xa0\xa0天空の城ラピュタ', '9.1', '638402', '对天空的追逐，永不停止 ', '导演: 宫崎骏 Hayao Miyazaki\xa0\xa0\xa0主演: 田中真弓 Mayumi Tanaka   横泽启子 Ke... 1986\xa0 \xa0日本\xa0 \xa0动画 奇幻 冒险']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1299398/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg', '大话西游之月光宝盒', '\xa0\xa0西遊記第壹佰零壹回之月光寶盒', '9.0', '918493', '旷古烁今', '导演: 刘镇伟 Jeffrey Lau\xa0\xa0\xa0主演: 周星驰 Stephen Chow   吴孟达 Man Tat Ng... 1995\xa0 \xa0中国香港 中国大陆\xa0 \xa0喜剧 爱情 奇幻 古装']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1293839/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg', '罗马假日', '\xa0\xa0Roman Holiday', '9.0', '737419', '爱情哪怕只有一天', '导演: 威廉·惠勒 William Wyler\xa0\xa0\xa0主演: 奥黛丽·赫本 Audrey Hepburn   格... 1953\xa0 \xa0美国\xa0 \xa0喜剧 剧情 爱情']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291828/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg', '天堂电影院', '\xa0\xa0Nuovo Cinema Paradiso', '9.2', '493010', '那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰', '导演: 朱塞佩·托纳多雷 Giuseppe Tornatore\xa0\xa0\xa0主演: 安东内拉·阿蒂利 Anton... 1988\xa0 \xa0意大利 法国\xa0 \xa0剧情 爱情']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1298624/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg', '闻香识女人', '\xa0\xa0Scent of a Woman', '9.1', '643611', '史上最美的探戈', '导演: 马丁·布莱斯 Martin Brest\xa0\xa0\xa0主演: 阿尔·帕西诺 Al Pacino   克里斯... 1992\xa0 \xa0美国\xa0 \xa0剧情']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/26752088/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg', '我不是药神', ' ', '9.0', '1582542', '对我们国家而言，这样的电影多一部是一部', '导演: 文牧野 Muye Wen\xa0\xa0\xa0主演: 徐峥 Zheng Xu   王传君 Chuanjun Wang   周... 2018\xa0 \xa0中国大陆\xa0 \xa0剧情 喜剧']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1292000/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg', '搏击俱乐部', '\xa0\xa0Fight Club', '9.0', '657705', '邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙', '导演: 大卫·芬奇 David Fincher\xa0\xa0\xa0主演: 爱德华·诺顿 Edward Norton   布拉... 1999\xa0 \xa0美国 德国\xa0 \xa0剧情 动作 悬疑 惊悚']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1418019/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg', '大闹天宫', ' ', '9.3', '299852', '经典之作，历久弥新', '导演: 万籁鸣 Laiming Wan   唐澄 Cheng  Tang\xa0\xa0\xa0主演: 邱岳峰 Yuefeng Qiu  ... 1961(中国大陆)   1964(中国大陆)   1978(中国大陆)   2004(中国大陆)\xa0 \xa0中国大陆\xa0 \xa0动画 奇幻']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1299131/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg', '教父2', '\xa0\xa0The Godfather: Part Ⅱ', '9.2', '393000', '优雅的孤独', '导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola\xa0\xa0\xa0主演: 阿尔·帕西诺 A... 1974\xa0 \xa0美国\xa0 \xa0剧情 犯罪']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1301753/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg', '狮子王', '\xa0\xa0The Lion King', '9.0', '613724', '动物版《哈姆雷特》', '导演: Roger Allers   罗伯·明可夫 Rob Minkoff\xa0\xa0\xa0主演: 乔纳森·泰勒·托马... 1994\xa0 \xa0美国\xa0 \xa0动画 冒险 歌舞']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291548/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg', '死亡诗社', '\xa0\xa0Dead Poets Society', '9.1', '524008', '当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面', '导演: 彼得·威尔 Peter Weir\xa0\xa0\xa0主演: 罗宾·威廉姆斯 Robin Williams   罗伯... 1989\xa0 \xa0美国\xa0 \xa0剧情']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1305487/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg', '猫鼠游戏', '\xa0\xa0Catch Me If You Can', '9.0', '629275', '骗子大师和执著警探的你追我跑故事 ', '导演: 史蒂文·斯皮尔伯格 Steven Spielberg\xa0\xa0\xa0主演: 莱昂纳多·迪卡普里奥 L... 2002\xa0 \xa0美国 加拿大\xa0 \xa0传记 犯罪 剧情']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291572/', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg', '指环王2：双塔奇兵', '\xa0\xa0The Lord of the Rings: The Two Towers', '9.1', '521529', '承前启后的史诗篇章', '导演: 彼得·杰克逊 Peter Jackson\xa0\xa0\xa0主演: 伊利亚·伍德 Elijah Wood   西恩... 2002\xa0 \xa0美国 新西兰\xa0 \xa0剧情 动作 奇幻 冒险']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1296736/', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg', '钢琴家', '\xa0\xa0The Pianist', '9.2', '399094', '音乐能化解仇恨', '导演: 罗曼·波兰斯基 Roman Polanski\xa0\xa0\xa0主演: 艾德里安·布洛迪 Adrien Brod... 2002\xa0 \xa0法国 德国 英国 波兰\xa0 \xa0剧情 传记 历史 战争 音乐']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1900841/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg', '窃听风暴', '\xa0\xa0Das Leben der Anderen', '9.1', '429280', '别样人生', '导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck\xa0\xa0&amp;n... 2006\xa0 \xa0德国\xa0 \xa0剧情 悬疑']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291571/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg', '指环王1：魔戒再现', '\xa0\xa0The Lord of the Rings: The Fellowship of the Ring', '9.0', '586461', '传说的开始', '导演: 彼得·杰克逊 Peter Jackson\xa0\xa0\xa0主演: 伊利亚·伍德 Elijah Wood   西恩... 2001\xa0 \xa0新西兰 美国\xa0 \xa0剧情 动作 奇幻 冒险']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291843/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg', '黑客帝国', '\xa0\xa0The Matrix', '9.0', '593727', '视觉革命', '导演: 安迪·沃卓斯基 Andy Wachowski   拉娜·沃卓斯基 Lana Wachowski\xa0\xa0\xa0主... 1999\xa0 \xa0美国 澳大利亚\xa0 \xa0动作 科幻']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1306029/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg', '美丽心灵', '\xa0\xa0A Beautiful Mind', '9.0', '570101', '爱是一切逻辑和原由', '导演: 朗·霍华德 Ron Howard\xa0\xa0\xa0主演: 罗素·克劳 Russell Crowe   艾德·哈... 2001\xa0 \xa0美国\xa0 \xa0传记 剧情']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1291818/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg', '饮食男女', '\xa0\xa0飲食男女', '9.1', '432405', '人生不能像做菜，把所有的料都准备好了才下锅', '导演: 李安 Ang Lee\xa0\xa0\xa0主演: 郎雄 Sihung Lung   杨贵媚 Kuei-Mei Yang   吴... 1994\xa0 \xa0中国台湾 美国\xa0 \xa0剧情 家庭']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1293350/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg', '两杆大烟枪', '\xa0\xa0Lock, Stock and Two Smoking Barrels', '9.1', '460630', '4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的', '导演: Guy Ritchie\xa0\xa0\xa0主演: Jason Flemyng   Dexter Fletcher   Nick Moran 1998\xa0 \xa0英国\xa0 \xa0剧情 喜剧 犯罪']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/3742360/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg', '让子弹飞', ' ', '8.8', '1214506', '你给我翻译翻译，神马叫做TMD的惊喜', '导演: 姜文 Wen Jiang\xa0\xa0\xa0主演: 姜文 Wen Jiang   葛优 You Ge   周润发 Yun-F... 2010\xa0 \xa0中国大陆 中国香港\xa0 \xa0剧情 喜剧 动作 西部']
2020-10-09 20:39:18 - __main__ - INFO - ['https://movie.douban.com/subject/1485260/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg', '本杰明·巴顿奇事', '\xa0\xa0The Curious Case of Benjamin Button', '8.9', '741681', '在时间之河里感受溺水之苦', '导演: 大卫·芬奇 David Fincher\xa0\xa0\xa0主演: 凯特·布兰切特 Cate Blanchett   ... 2008\xa0 \xa0美国\xa0 \xa0剧情 爱情 奇幻']
